ym,housing_type,deal_type,n_deals,n_gu
2021-08,아파트,매매,16566,68
2021-08,아파트,전월세,51474,68
2021-08,연립다세대,매매,9537,68
2021-08,연립다세대,전월세,19616,68
2021-09,아파트,매매,11831,68
2021-09,아파트,전월세,45232,68
2021-09,연립다세대,매매,8433,68
2021-09,연립다세대,전월세,15708,68
2021-10,아파트,매매,9596,68
2021-10,아파트,전월세,52314,68
2021-10,연립다세대,매매,8630,68
2021-10,연립다세대,전월세,18603,68
2021-11,아파트,매매,5872,68
2021-11,아파트,전월세,47093,68
2021-11,연립다세대,매매,7010,68
2021-11,연립다세대,전월세,17234,68
2021-12,아파트,매매,4951,68
2021-12,아파트,전월세,54157,68
2021-12,연립다세대,매매,6683,68
2021-12,연립다세대,전월세,18227,68
2022-01,아파트,매매,4330,68
2022-01,아파트,전월세,51327,68
2022-01,연립다세대,매매,5585,68
2022-01,연립다세대,전월세,19329,68
2022-02,아파트,매매,4447,68
2022-02,아파트,전월세,54778,68
2022-02,연립다세대,매매,5560,68
2022-02,연립다세대,전월세,20500,68
2022-03,아파트,매매,7004,68
2022-03,아파트,전월세,56393,68
2022-03,연립다세대,매매,6890,68
2022-03,연립다세대,전월세,21238,68
2022-04,아파트,매매,7883,68
2022-04,아파트,전월세,53790,68
2022-04,연립다세대,매매,8012,68
2022-04,연립다세대,전월세,20858,68
2022-05,아파트,매매,7134,68
2022-05,아파트,전월세,52612,68
2022-05,연립다세대,매매,8278,68
2022-05,연립다세대,전월세,19640,68
2022-06,아파트,매매,4794,68
2022-06,아파트,전월세,49737,68
2022-06,연립다세대,매매,6868,68
2022-06,연립다세대,전월세,18481,68
2022-07,아파트,매매,3350,68
2022-07,아파트,전월세,50980,68
2022-07,연립다세대,매매,5141,68
2022-07,연립다세대,전월세,18556,68
2022-08,아파트,매매,3327,68
2022-08,아파트,전월세,50403,68
2022-08,연립다세대,매매,4539,68
2022-08,연립다세대,전월세,17674,68
2022-09,아파트,매매,3012,68
2022-09,아파트,전월세,50542,68
2022-09,연립다세대,매매,3918,68
2022-09,연립다세대,전월세,16383,68
2022-10,아파트,매매,3016,68
2022-10,아파트,전월세,52101,68
2022-10,연립다세대,매매,3704,68
2022-10,연립다세대,전월세,17041,68
2022-11,아파트,매매,3480,68
2022-11,아파트,전월세,47711,68
2022-11,연립다세대,매매,2919,68
2022-11,연립다세대,전월세,15514,68
2022-12,아파트,매매,3798,68
2022-12,아파트,전월세,55352,68
2022-12,연립다세대,매매,2883,67
2022-12,연립다세대,전월세,15959,68
2023-01,아파트,매매,5673,68
2023-01,아파트,전월세,52599,68
2023-01,연립다세대,매매,2200,67
2023-01,연립다세대,전월세,14995,68
2023-02,아파트,매매,10107,68
2023-02,아파트,전월세,64402,68
2023-02,연립다세대,매매,3278,67
2023-02,연립다세대,전월세,18737,68
2023-03,아파트,매매,11253,68
2023-03,아파트,전월세,63396,68
2023-03,연립다세대,매매,3827,68
2023-03,연립다세대,전월세,19511,68
2023-04,아파트,매매,11457,68
2023-04,아파트,전월세,55859,68
2023-04,연립다세대,매매,3727,68
2023-04,연립다세대,전월세,16583,68
